# element: foreground_element
# format: name | probability | coverage_range | texture

burgundy persian wool rug edge | 1.0 | 0.3-0.6 | thick hand-knotted pile
dark-stained walnut hardwood floor | 0.95 | 0.3-0.6 | rich oiled grained timber
inlaid border parquetry floor | 0.7 | 0.3-0.6 | geometric wood marquetry
oxblood leather deep-tufted seat edge | 0.8 | 0.1-0.3 | deeply buttoned hide cushion
gilt-stamped leather book spine pile | 0.7 | 0.05-0.2 | embossed gilt-titled spines
brass nailhead trim chair edge | 0.6 | 0.05-0.15 | polished domed studs
green-felt desk-blotter pad | 0.85 | 0.1-0.3 | embossed leather-edged pad
inlaid mother-of-pearl chess board edge | 0.5 | 0.05-0.15 | polished marquetry game board
hand-stitched leather portfolio pile | 0.6 | 0.05-0.15 | saddle-stitched hide stack
ornate fringed rug tassel border | 0.55 | 0.05-0.15 | twisted silk-wool fringe
deep-tobacco fender bench seat | 0.55 | 0.1-0.3 | buttoned curved hide bench
polished marble desk-lamp base | 0.5 | 0.02-0.08 | veined honed stone disk
