# format: fabric_name | formality | family | weight

# casual fabrics
cotton | 0.2 | natural | medium
denim | 0.2 | tough | heavy
canvas | 0.2 | tough | medium
knit | 0.25 | casual | medium
felt | 0.3 | natural | medium

# mid-range fabrics
rayon | 0.4 | synthetic | light
gabardine | 0.5 | natural | medium
leather | 0.45 | tough | heavy
suede | 0.4 | tough | medium
wool | 0.5 | natural | heavy
tweed | 0.55 | natural | heavy
nylon | 0.35 | synthetic | light
tulle | 0.55 | luxury | light

# formal fabrics
velvet | 0.65 | luxury | medium
satin | 0.7 | luxury | light
silk | 0.85 | luxury | light
cashmere | 0.75 | luxury | medium
sequin | 0.8 | luxury | medium
faux_fur | 0.6 | luxury | heavy

# special materials
metal | 0.5 | luxury | heavy
straw | 0.2 | natural | light
acrylic | 0.4 | synthetic | medium
