# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.35-0.65 | cotton,polyester,wool
short A-line skirt | 0.70 | 0.35-0.65 | cotton,polyester,wool
pleated mini skirt | 0.65 | 0.4-0.65 | polyester,chiffon
wrap mini skirt | 0.60 | 0.35-0.65 | cotton,rayon
dark wash mini skirt | 0.55 | 0.35-0.6 | denim
button-front mini skirt | 0.55 | 0.35-0.6 | cotton,denim
ruched mini skirt | 0.50 | 0.4-0.65 | satin,polyester
skater mini skirt | 0.50 | 0.35-0.6 | jersey,polyester
draped mini skirt | 0.45 | 0.4-0.65 | rayon,polyester
box-pleat mini skirt | 0.45 | 0.4-0.65 | polyester,wool
faded mini skirt | 0.40 | 0.35-0.55 | denim
