# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic pumps | 0.85 | 0.4-0.65 | leather,suede
bow pumps | 0.75 | 0.4-0.65 | leather,satin
mid-heel pumps | 0.75 | 0.35-0.65 | leather,suede
almond-toe pumps | 0.65 | 0.35-0.65 | leather,suede
mary jane pumps | 0.65 | 0.35-0.6 | leather,suede
sleek pumps | 0.60 | 0.4-0.65 | leather,suede
pointed-toe pumps | 0.55 | 0.4-0.65 | leather,suede
ankle-strap pumps | 0.55 | 0.4-0.65 | leather,suede
court shoes | 0.50 | 0.4-0.65 | leather,suede
patent pumps | 0.45 | 0.4-0.65 | leather
stiletto pumps | 0.40 | 0.45-0.65 | leather,suede
high-heel pumps | 0.35 | 0.45-0.65 | leather,suede
