# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

chalked palms | 0.70 | 0.0-0.2 | cotton
chalk grips | 0.65 | 0.0-0.2 | leather
wrist guards | 0.50 | 0.0-0.2 | leather,nylon
ankle braces | 0.40 | 0.0-0.2 | nylon
athletic tape on wrists | 0.50 | 0.0-0.2 | cotton
rhinestone team scrunchie | 0.85 | 0.0-0.2 | nylon,satin
glitter hair bow | 0.75 | 0.0-0.2 | satin,polyester
sparkle hair clip | 0.50 | 0.0-0.2 | metal,plastic
crystal stud earrings | 0.70 | 0.0-0.2 | metal
champion medal | 0.55 | 0.0-0.2 | metal
team pin | 0.35 | 0.0-0.2 | metal
sport watch | 0.30 | 0.0-0.2 | metal,plastic
beaded bracelet | 0.40 | 0.0-0.2 | plastic,metal
