# element: foreground_element
# format: name | probability | coverage_range | texture

hands hanging up washing | 0.7 | 0.1-0.3 | damp fabric
mug set on the railing | 0.6 | 0.05-0.15 | chipped ceramic
elbows resting on the railing | 0.6 | 0.1-0.3 | sleeve against metal
washing basket held at the hip | 0.5 | 0.1-0.3 | plastic rim
watering a pot with the can | 0.5 | 0.1-0.25 | thin stream of water
phone held over the railing | 0.45 | 0.05-0.15 | lit screen
cardigan pulled around the shoulders | 0.5 | 0.1-0.3 | loose knit
bare feet on the concrete | 0.35 | 0.05-0.2 | cool grey slab
laundry peg held in the mouth | 0.35 | 0.02-0.08 | worn plastic peg
leaning over to look down | 0.4 | 0.1-0.3 | hair falling forward
towel shaken out over the railing | 0.4 | 0.1-0.3 | snapping fabric
