# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic blazer | 0.95 | 0.6-0.9 | wool,polyester,linen
oversized blazer | 0.65 | 0.55-0.85 | wool,polyester
cropped blazer | 0.65 | 0.55-0.85 | wool,polyester,crepe
double-breasted blazer | 0.60 | 0.7-0.9 | wool,polyester
boyfriend blazer | 0.50 | 0.55-0.85 | wool,polyester
pinstripe blazer | 0.45 | 0.65-0.9 | wool,polyester
boucle jacket | 0.50 | 0.6-0.9 | wool,polyester
plaid blazer | 0.40 | 0.55-0.85 | wool,polyester
relaxed summer blazer | 0.35 | 0.55-0.8 | linen
short trench coat | 0.40 | 0.55-0.8 | cotton,polyester
belted blazer | 0.45 | 0.6-0.9 | wool,polyester
