# format: fabric_name | formality | family | weight

# casual fabrics
knit | 0.25 | casual | medium
cotton | 0.2 | natural | medium
canvas | 0.2 | casual | medium
polyester | 0.25 | synthetic | light

# mid-range fabrics
linen | 0.4 | natural | light
suede | 0.4 | tough | medium
leather | 0.45 | tough | heavy
wool | 0.5 | natural | heavy
tweed | 0.55 | natural | heavy
nylon | 0.3 | synthetic | light
jute | 0.3 | natural | medium
straw | 0.3 | natural | light

# formal fabrics
cashmere | 0.8 | luxury | medium
silk | 0.85 | luxury | light

# special materials
metal | 0.5 | luxury | heavy
