# element: background
# format: name | probability | coverage_range | texture

vast golden savanna plain | 1.0 | 0.5-1.0 | dry rippling tawny grassland
distant flat-topped acacia trees | 0.95 | 0.4-0.9 | umbrella-spreading dark canopies
hazy faraway escarpment | 0.7 | 0.3-0.7 | soft blue layered silhouette
herd of grazing zebras far off | 0.5 | 0.2-0.5 | tiny black-white scattered dots
wide watering pan in distance | 0.55 | 0.2-0.5 | bright reflective patch
elephants at distant pan | 0.45 | 0.15-0.4 | small dark elephantine silhouettes
massive baobab tree silhouette | 0.6 | 0.3-0.6 | thick swollen pale trunk
sky filled with cumulus | 0.85 | 0.4-0.8 | piled bright white clouds
red rocky kopje outcrop | 0.55 | 0.2-0.5 | warm boulder-stacked formation
distant giraffe browsing | 0.45 | 0.1-0.3 | tall spotted ochre form
dust haze on horizon | 0.65 | 0.3-0.7 | softly amber atmospheric band
golden grass slope rising | 0.75 | 0.3-0.7 | sun-bleached straw texture
