# format: fabric_name | formality | family | weight
crepe | 0.6 | mixed | light
charmeuse | 0.7 | synthetic | light
georgette | 0.6 | synthetic | light
jersey | 0.4 | synthetic | light
modal | 0.4 | mixed | light
poplin | 0.5 | natural | light
cotton | 0.4 | natural | medium
linen | 0.5 | natural | light
neoprene | 0.5 | synthetic | medium
suede | 0.5 | animal | medium
leather | 0.5 | animal | medium
patent | 0.6 | synthetic | medium
wool blend | 0.6 | natural | medium
cashmere | 0.7 | natural | medium
acetate | 0.4 | synthetic | light
metal | 0.5 | mixed | medium
