# format: fabric_name | formality | family | weight
pique | 0.25 | natural | medium
jersey | 0.2 | natural | light
poplin | 0.35 | natural | light
broadcloth | 0.4 | natural | medium
seersucker | 0.35 | natural | light
twill | 0.4 | natural | medium
denim | 0.3 | natural | medium
linen-blend | 0.4 | natural | light
viscose | 0.3 | natural | light
gabardine | 0.55 | natural | medium
worsted | 0.65 | natural | medium
hopsack | 0.6 | natural | medium
merino | 0.5 | luxury | medium
pima | 0.3 | natural | light
wool | 0.5 | natural | heavy
silk | 0.85 | luxury | light
grosgrain | 0.5 | natural | medium
leather | 0.45 | tough | heavy
suede | 0.4 | tough | medium
canvas | 0.2 | natural | medium
jute | 0.25 | natural | medium
nylon | 0.2 | synthetic | light
acetate | 0.3 | synthetic | light
straw | 0.3 | natural | light
metal | 0.5 | luxury | heavy
