# element: foreground_element
# format: name | probability | coverage_range | texture

dark-grey commercial carpet trading-floor | 1.0 | 0.3-0.6 | low-pile commercial weave
polished marble lobby-edge floor | 0.65 | 0.2-0.5 | veined honed dark stone
anti-static raised computer floor | 0.85 | 0.3-0.6 | modular squared panel floor
rubber-mat under-trader-desk | 0.7 | 0.1-0.3 | anti-fatigue cushioned pad
rolling caster on raised floor | 0.85 | 0.05-0.2 | matte black wheeled base
desk-edge laminate worktop | 0.85 | 0.1-0.3 | matte commercial work surface
scattered trade-ticket paper drift | 0.7 | 0.05-0.15 | loose printed-confirmation pile
painted trading-zone color-line | 0.55 | 0.05-0.15 | bold tape-stripe band
flush-floor cable raceway | 0.7 | 0.05-0.15 | flat plastic cover band
stainless utility counter-base edge | 0.6 | 0.05-0.15 | polished metal toe-kick
ribbed walk-off entry mat | 0.55 | 0.1-0.3 | ribbed dark commercial textile
rubber chair-mat under cubicle | 0.65 | 0.1-0.3 | clear vinyl floor protector
