# format: fabric_name | formality | family | weight

# urban fabrics
cotton | 0.2 | natural | medium
jersey | 0.1 | casual | light
fleece | 0.1 | casual | medium
nylon | 0.15 | sporty | light
polyester | 0.2 | sporty | light
spandex | 0.1 | sporty | light
mesh | 0.1 | sporty | light
canvas | 0.2 | natural | medium
denim | 0.3 | natural | heavy
wool | 0.4 | natural | heavy
foam | 0.1 | sporty | light
rubber | 0.1 | sporty | medium

# special materials
metal | 0.5 | luxury | heavy
acetate | 0.4 | luxury | light
faux-leather | 0.4 | luxury | medium
