# format: fabric_name | formality | family | weight
silk | 0.8 | natural | light
chiffon | 0.7 | synthetic | light
lace | 0.8 | synthetic | light
satin | 0.8 | synthetic | light
organza | 0.8 | synthetic | light
taffeta | 0.8 | synthetic | medium
tulle | 0.8 | synthetic | light
velvet | 0.8 | mixed | medium
crepe | 0.7 | mixed | light
georgette | 0.7 | synthetic | light
brocade | 0.9 | mixed | medium
cotton sateen | 0.6 | natural | medium
wool blend | 0.7 | natural | medium
charmeuse | 0.8 | synthetic | light
cashmere | 0.8 | natural | medium
