# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

matching cropped jacket | 0.90 | 0.6-0.9 | crepe,polyester,wool
coordinated short jacket | 0.75 | 0.6-0.9 | crepe,polyester,wool
matched blazer | 0.70 | 0.65-0.9 | wool,crepe
cropped blazer | 0.60 | 0.6-0.85 | wool,polyester,crepe
boucle jacket | 0.55 | 0.65-0.9 | wool,polyester
short structured jacket | 0.50 | 0.6-0.9 | wool,polyester
double-breasted blazer | 0.45 | 0.7-0.9 | wool,polyester
belted blazer | 0.40 | 0.65-0.9 | wool,polyester
short trench coat | 0.30 | 0.6-0.85 | cotton,polyester
classic blazer | 0.45 | 0.6-0.9 | wool,polyester
