# format: text_content | probability | compatible_slots | font_hint
"JUST DO IT" | 0.2 | top | bold block letters
"CHAMPION" | 0.25 | top | varsity font
"WINNER" | 0.2 | top | athletic font
"UNSTOPPABLE" | 0.2 | top | bold block letters
"POWER" | 0.2 | top | athletic font
"GAME ON" | 0.2 | top,headwear | varsity font
"ATHLETE" | 0.15 | top | bold block letters
"23" | 0.2 | top | jersey number font
"MVP" | 0.25 | top | varsity bold
"ELITE" | 0.2 | top | athletic block
"NO PAIN NO GAIN" | 0.15 | top | stencil military
"LEGEND" | 0.2 | top,headwear | jersey font
"BUILT DIFFERENT" | 0.1 | top | industrial bold
"ALL IN" | 0.2 | top | varsity bold
"OVERTIME" | 0.15 | top | athletic block
"IRON WILL" | 0.15 | top | stencil military
"DOMINATE" | 0.2 | top,outerwear | jersey font
"RELENTLESS" | 0.1 | top | industrial bold
