# element: foreground_element
# format: name | probability | coverage_range | texture

scuffed-vinyl bullpen tile floor | 1.0 | 0.3-0.6 | flat speckled commercial sheet
low-pile newsroom carpet floor | 0.85 | 0.3-0.6 | looped commercial weave
scattered news-clippings paper drift | 0.95 | 0.05-0.2 | loose tossed printed page
ribbed walk-off entrance mat | 0.65 | 0.1-0.3 | ribbed dark commercial textile
desk-edge laminate worktop | 0.85 | 0.1-0.3 | matte commercial work surface
rolling chair caster on tile | 0.85 | 0.05-0.2 | matte black wheeled base
vintage rolodex card-wheel | 0.55 | 0.05-0.15 | rotating index-card holder
scuffed institutional linoleum floor | 0.7 | 0.3-0.6 | speckled flat sheet
crumpled-paper waste pile | 0.65 | 0.05-0.15 | tossed-page accumulation
rolling cart-base wheel | 0.55 | 0.05-0.15 | small commercial caster
painted-edge floor-hazard stripe | 0.5 | 0.05-0.15 | yellow tape-stripe band
scattered notebook-pile floor edge | 0.6 | 0.05-0.15 | stacked reporter notebook
