# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

almond-toe pumps | 0.85 | 0.45-0.75 | leather,suede
sleek pumps | 0.80 | 0.45-0.75 | leather,suede
patent pumps | 0.75 | 0.45-0.75 | leather
mid-heel pumps | 0.70 | 0.45-0.75 | leather,suede
classic pumps | 0.70 | 0.45-0.75 | leather,suede
court shoes | 0.65 | 0.45-0.75 | leather,suede
mary jane pumps | 0.60 | 0.45-0.75 | leather,suede
bow pumps | 0.55 | 0.45-0.75 | leather,satin
pointed-toe pumps | 0.55 | 0.5-0.75 | leather,suede
high-heel pumps | 0.50 | 0.5-0.75 | leather,suede
stiletto pumps | 0.45 | 0.5-0.75 | leather,suede
