# element: architecture_detail
# format: name | probability | coverage_range | texture

concrete poured floor slab | 1.0 | 0.5-0.85 | smoothly polished grey aggregate
exposed steel ceiling beams | 0.85 | 0.1-0.3 | softly painted black ibeams
recessed led strip lighting | 0.85 | 0.05-0.15 | crisply machined cool glow
ventilation grille metal panel | 0.85 | 0.05-0.1 | crisply slotted polished metal
sealed steel ceiling panels | 0.7 | 0.2-0.5 | smoothly bolted plate metal
multiple deadbolt door hardware | 0.95 | 0.05-0.15 | crisply machined heavy metal
peephole viewer with shutter | 0.7 | 0.02-0.05 | softly polished steel ring
floor drain center grate | 0.65 | 0.02-0.08 | crisply slotted polished metal
sealed bunker hatch ceiling | 0.45 | 0.1-0.25 | crisply riveted heavy plate
exposed conduit pipe runs | 0.85 | 0.05-0.15 | softly painted metal pipe
