# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

stud earrings | 0.75 | 0.65-0.9 | metal
delicate necklace | 0.70 | 0.65-0.9 | metal
sheer hosiery | 0.65 | 0.65-0.9 | nylon
sleek wrist watch | 0.65 | 0.65-0.9 | metal,leather
slim belt | 0.60 | 0.65-0.9 | leather
fine neck scarf | 0.50 | 0.65-0.9 | silk
hoop earrings | 0.55 | 0.65-0.9 | metal
modern pendant necklace | 0.50 | 0.65-0.9 | metal
signet ring | 0.45 | 0.65-0.9 | metal
fine bangle | 0.45 | 0.65-0.9 | metal
drop earrings | 0.50 | 0.65-0.9 | metal
